"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Baseline Date Range","Baseline Mean Travel Time (Seconds)","Baseline Range - Lower Bound Travel Time (Seconds)","Baseline Range - Upper Bound Travel Time (Seconds)","Comparison Date Range","Comparison Mean Travel Time (Seconds)","Comparison Range - Lower Bound Travel Time (Seconds)","Comparison Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","9","500 Hyde Street, Tenderloin, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",260,168,400,"3/1/2020 - 3/8/2020, Every day, Daily Average",342,222,525
"1277","300 Hayes Street, Civic Center, San Francisco","20","900 Sutter Street, Lower Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",221,147,331,"3/1/2020 - 3/8/2020, Every day, Daily Average",315,194,509
"1277","300 Hayes Street, Civic Center, San Francisco","21","3400 Pierce Street, Marina District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",444,380,518,"3/1/2020 - 3/8/2020, Every day, Daily Average",623,458,845
"1277","300 Hayes Street, Civic Center, San Francisco","44","1700 Egbert Avenue, Bayview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",576,460,720,"3/1/2020 - 3/8/2020, Every day, Daily Average",861,596,1243
"1277","300 Hayes Street, Civic Center, San Francisco","46","500 Chester Street, West Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",820,654,1027,"3/1/2020 - 3/8/2020, Every day, Daily Average",995,729,1356
"1277","300 Hayes Street, Civic Center, San Francisco","57","1700 Bayo Vista Avenue, San Pablo","3/22/2020 - 3/29/2020, Every day, Daily Average",1155,615,2167,"3/1/2020 - 3/8/2020, Every day, Daily Average",1635,1177,2270
"1277","300 Hayes Street, Civic Center, San Francisco","58","5600 Genoa Street, Santa Fe, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",861,787,941,"3/1/2020 - 3/8/2020, Every day, Daily Average",1433,982,2089
"1277","300 Hayes Street, Civic Center, San Francisco","78","1400 Thomas Avenue, Bayview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",761,561,1030,"3/1/2020 - 3/8/2020, Every day, Daily Average",1016,716,1441
"1277","300 Hayes Street, Civic Center, San Francisco","79","1500 California Street, Polk Gulch, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",267,176,402,"3/1/2020 - 3/8/2020, Every day, Daily Average",360,226,571
"1277","300 Hayes Street, Civic Center, San Francisco","80","0 Farren Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",276,202,375,"3/1/2020 - 3/8/2020, Every day, Daily Average",353,247,503
"1277","300 Hayes Street, Civic Center, San Francisco","81","0 Berkeley Way, Diamond Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",715,631,809,"3/1/2020 - 3/8/2020, Every day, Daily Average",961,762,1211
"1277","300 Hayes Street, Civic Center, San Francisco","82","2700 25th Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",290,222,378,"3/1/2020 - 3/8/2020, Every day, Daily Average",418,284,614
"1277","300 Hayes Street, Civic Center, San Francisco","87","2200 Wyandotte Street, Mountain View","3/22/2020 - 3/29/2020, Every day, Daily Average",1960,1805,2127,"3/1/2020 - 3/8/2020, Every day, Daily Average",2438,1927,3083
"1277","300 Hayes Street, Civic Center, San Francisco","90","300 Heathcliff Drive, Westview, Pacifica","3/22/2020 - 3/29/2020, Every day, Daily Average",933,810,1073,"3/1/2020 - 3/8/2020, Every day, Daily Average",1287,982,1686
"1277","300 Hayes Street, Civic Center, San Francisco","91","700 Industrial Road, San Carlos","3/22/2020 - 3/29/2020, Every day, Daily Average",1439,1268,1632,"3/1/2020 - 3/8/2020, Every day, Daily Average",1797,1398,2309
"1277","300 Hayes Street, Civic Center, San Francisco","96","2200 Bonar Street, Poets Corner, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1004,871,1156,"3/1/2020 - 3/8/2020, Every day, Daily Average",1331,1027,1723
"1277","300 Hayes Street, Civic Center, San Francisco","98","500 10th Street, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",862,701,1058,"3/1/2020 - 3/8/2020, Every day, Daily Average",1082,782,1495
"1277","300 Hayes Street, Civic Center, San Francisco","102","500 Mount Street, East Richmond, Richmond","3/22/2020 - 3/29/2020, Every day, Daily Average",1084,629,1867,"3/1/2020 - 3/8/2020, Every day, Daily Average",1545,1098,2172
"1277","300 Hayes Street, Civic Center, San Francisco","113","1200 Hayes Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",132,92,188,"3/1/2020 - 3/8/2020, Every day, Daily Average",194,124,302
"1277","300 Hayes Street, Civic Center, San Francisco","117","100 Edgemar Street, Crocker, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",865,722,1035,"3/1/2020 - 3/8/2020, Every day, Daily Average",1177,917,1510
"1277","300 Hayes Street, Civic Center, San Francisco","151","500 20th Street, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",954,842,1080,"3/1/2020 - 3/8/2020, Every day, Daily Average",1190,934,1515
"1277","300 Hayes Street, Civic Center, San Francisco","155","400 North Mary Avenue, Sunnyvale West, Sunnyvale","3/22/2020 - 3/29/2020, Every day, Daily Average",2223,2033,2429,"3/1/2020 - 3/8/2020, Every day, Daily Average",2844,2209,3660
"1277","300 Hayes Street, Civic Center, San Francisco","165","2200 Franklin Street, Pacific Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",201,153,262,"3/1/2020 - 3/8/2020, Every day, Daily Average",293,198,433
"1277","300 Hayes Street, Civic Center, San Francisco","181","3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",824,703,964,"3/1/2020 - 3/8/2020, Every day, Daily Average",1128,815,1560
"1277","300 Hayes Street, Civic Center, San Francisco","186","1800 Vicente Street, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",1058,851,1315,"3/1/2020 - 3/8/2020, Every day, Daily Average",1276,992,1641
"1277","300 Hayes Street, Civic Center, San Francisco","206","1300 15th Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",191,126,287,"3/1/2020 - 3/8/2020, Every day, Daily Average",283,179,446
"1277","300 Hayes Street, Civic Center, San Francisco","207","1100 Guerrero Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",484,367,637,"3/1/2020 - 3/8/2020, Every day, Daily Average",633,481,832
"1277","300 Hayes Street, Civic Center, San Francisco","208","600 Alabama Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",359,266,484,"3/1/2020 - 3/8/2020, Every day, Daily Average",467,341,638
"1277","300 Hayes Street, Civic Center, San Francisco","209","300 Wilde Avenue, Visitacion Valley, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",453,350,585,"3/1/2020 - 3/8/2020, Every day, Daily Average",585,419,815
"1277","300 Hayes Street, Civic Center, San Francisco","210","100 Ramsell Street, Oceanview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",633,500,801,"3/1/2020 - 3/8/2020, Every day, Daily Average",868,621,1213
"1277","300 Hayes Street, Civic Center, San Francisco","211","200 16th Avenue, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",710,479,1051,"3/1/2020 - 3/8/2020, Every day, Daily Average",885,669,1170
"1277","300 Hayes Street, Civic Center, San Francisco","212","500 Washington Street, Financial District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",552,427,712,"3/1/2020 - 3/8/2020, Every day, Daily Average",772,542,1098
"1277","300 Hayes Street, Civic Center, San Francisco","232","1000 Beech Street, East Palo Alto","3/22/2020 - 3/29/2020, Every day, Daily Average",1852,1659,2067,"3/1/2020 - 3/8/2020, Every day, Daily Average",2218,1761,2793
"1277","300 Hayes Street, Civic Center, San Francisco","234","100 Domestic Terminals Departures Level, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",921,767,1104,"3/1/2020 - 3/8/2020, Every day, Daily Average",1093,877,1361
"1277","300 Hayes Street, Civic Center, San Francisco","264","300 Irwin Street, San Rafael","3/22/2020 - 3/29/2020, Every day, Daily Average",1351,1191,1532,"3/1/2020 - 3/8/2020, Every day, Daily Average",1655,1355,2021
"1277","300 Hayes Street, Civic Center, San Francisco","285","1600 Maritime Street, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",653,520,819,"3/1/2020 - 3/8/2020, Every day, Daily Average",897,631,1273
