"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes St, San Francisco, CA","9","500 Hyde Street, Tenderloin, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",260,168,400
"1277","300 Hayes St, San Francisco, CA","20","900 Sutter Street, Lower Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",221,147,331
"1277","300 Hayes St, San Francisco, CA","21","3400 Pierce Street, Marina District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",444,380,518
"1277","300 Hayes St, San Francisco, CA","44","1700 Egbert Avenue, Bayview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",576,460,720
"1277","300 Hayes St, San Francisco, CA","46","500 Chester Street, West Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",820,654,1027
"1277","300 Hayes St, San Francisco, CA","57","1700 Bayo Vista Avenue, San Pablo","3/22/2020 - 3/29/2020, Every day, Daily Average",1155,615,2167
"1277","300 Hayes St, San Francisco, CA","58","5600 Genoa Street, Santa Fe, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",861,787,941
"1277","300 Hayes St, San Francisco, CA","78","1400 Thomas Avenue, Bayview, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",761,561,1030
"1277","300 Hayes St, San Francisco, CA","79","1500 California Street, Polk Gulch, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",267,176,402
"1277","300 Hayes St, San Francisco, CA","80","0 Farren Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",276,202,375
"1277","300 Hayes St, San Francisco, CA","81","0 Berkeley Way, Diamond Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",715,631,809
"1277","300 Hayes St, San Francisco, CA","82","2700 25th Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",290,222,378
"1277","300 Hayes St, San Francisco, CA","87","2200 Wyandotte Street, Mountain View","3/22/2020 - 3/29/2020, Every day, Daily Average",1960,1805,2127
"1277","300 Hayes St, San Francisco, CA","90","300 Heathcliff Drive, Westview, Pacifica","3/22/2020 - 3/29/2020, Every day, Daily Average",933,810,1073
"1277","300 Hayes St, San Francisco, CA","91","700 Industrial Road, San Carlos","3/22/2020 - 3/29/2020, Every day, Daily Average",1439,1268,1632
"1277","300 Hayes St, San Francisco, CA","96","2200 Bonar Street, Poets Corner, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1004,871,1156
"1277","300 Hayes St, San Francisco, CA","98","500 10th Street, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",862,701,1058
"1277","300 Hayes St, San Francisco, CA","102","500 Mount Street, East Richmond, Richmond","3/22/2020 - 3/29/2020, Every day, Daily Average",1084,629,1867
"1277","300 Hayes St, San Francisco, CA","113","1200 Hayes Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",132,92,188
"1277","300 Hayes St, San Francisco, CA","117","100 Edgemar Street, Crocker, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",865,722,1035
