,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Baseline Date Range,Baseline Mean Travel Time (Seconds),Baseline Range - Lower Bound Travel Time (Seconds),Baseline Range - Upper Bound Travel Time (Seconds),Comparison Date Range,Comparison Mean Travel Time (Seconds),Comparison Range - Lower Bound Travel Time (Seconds),Comparison Range - Upper Bound Travel Time (Seconds),Mean Difference,Percent Difference,Baseline Mean Travel Time (Minutes),Comparison Mean Travel Time (Minutes),Base Start,Base End,Comparison Start,Comparison End
0,1277,"300 Hayes Street, Civic Center, San Francisco",9,"500 Hyde Street, Tenderloin, San Francisco",3/22/2020 - 3/29/2020,260,168,400,3/1/2020 - 3/8/2020,342,222,525,-82,-23.98,4.33,5.7,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
1,1277,"300 Hayes Street, Civic Center, San Francisco",20,"900 Sutter Street, Lower Nob Hill, San Francisco",3/22/2020 - 3/29/2020,221,147,331,3/1/2020 - 3/8/2020,315,194,509,-94,-29.84,3.68,5.25,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
2,1277,"300 Hayes Street, Civic Center, San Francisco",21,"3400 Pierce Street, Marina District, San Francisco",3/22/2020 - 3/29/2020,444,380,518,3/1/2020 - 3/8/2020,623,458,845,-179,-28.73,7.4,10.38,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
3,1277,"300 Hayes Street, Civic Center, San Francisco",44,"1700 Egbert Avenue, Bayview, San Francisco",3/22/2020 - 3/29/2020,576,460,720,3/1/2020 - 3/8/2020,861,596,1243,-285,-33.1,9.6,14.35,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
4,1277,"300 Hayes Street, Civic Center, San Francisco",46,"500 Chester Street, West Oakland, Oakland",3/22/2020 - 3/29/2020,820,654,1027,3/1/2020 - 3/8/2020,995,729,1356,-175,-17.59,13.67,16.58,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
5,1277,"300 Hayes Street, Civic Center, San Francisco",57,"1700 Bayo Vista Avenue, San Pablo",3/22/2020 - 3/29/2020,1155,615,2167,3/1/2020 - 3/8/2020,1635,1177,2270,-480,-29.36,19.25,27.25,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
6,1277,"300 Hayes Street, Civic Center, San Francisco",58,"5600 Genoa Street, Santa Fe, Oakland",3/22/2020 - 3/29/2020,861,787,941,3/1/2020 - 3/8/2020,1433,982,2089,-572,-39.92,14.35,23.88,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
7,1277,"300 Hayes Street, Civic Center, San Francisco",78,"1400 Thomas Avenue, Bayview, San Francisco",3/22/2020 - 3/29/2020,761,561,1030,3/1/2020 - 3/8/2020,1016,716,1441,-255,-25.1,12.68,16.93,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
8,1277,"300 Hayes Street, Civic Center, San Francisco",79,"1500 California Street, Polk Gulch, San Francisco",3/22/2020 - 3/29/2020,267,176,402,3/1/2020 - 3/8/2020,360,226,571,-93,-25.83,4.45,6.0,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
9,1277,"300 Hayes Street, Civic Center, San Francisco",80,"0 Farren Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,276,202,375,3/1/2020 - 3/8/2020,353,247,503,-77,-21.81,4.6,5.88,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
