,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),Mean Travel Time (Minute)
0,1277,"300 Hayes St, San Francisco, CA",9,"500 Hyde Street, Tenderloin, San Francisco",3/22/2020 - 3/29/2020,260,168,400,4.33
1,1277,"300 Hayes St, San Francisco, CA",20,"900 Sutter Street, Lower Nob Hill, San Francisco",3/22/2020 - 3/29/2020,221,147,331,3.68
2,1277,"300 Hayes St, San Francisco, CA",21,"3400 Pierce Street, Marina District, San Francisco",3/22/2020 - 3/29/2020,444,380,518,7.4
3,1277,"300 Hayes St, San Francisco, CA",44,"1700 Egbert Avenue, Bayview, San Francisco",3/22/2020 - 3/29/2020,576,460,720,9.6
4,1277,"300 Hayes St, San Francisco, CA",46,"500 Chester Street, West Oakland, Oakland",3/22/2020 - 3/29/2020,820,654,1027,13.67
5,1277,"300 Hayes St, San Francisco, CA",57,"1700 Bayo Vista Avenue, San Pablo",3/22/2020 - 3/29/2020,1155,615,2167,19.25
6,1277,"300 Hayes St, San Francisco, CA",58,"5600 Genoa Street, Santa Fe, Oakland",3/22/2020 - 3/29/2020,861,787,941,14.35
7,1277,"300 Hayes St, San Francisco, CA",78,"1400 Thomas Avenue, Bayview, San Francisco",3/22/2020 - 3/29/2020,761,561,1030,12.68
8,1277,"300 Hayes St, San Francisco, CA",79,"1500 California Street, Polk Gulch, San Francisco",3/22/2020 - 3/29/2020,267,176,402,4.45
9,1277,"300 Hayes St, San Francisco, CA",80,"0 Farren Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,276,202,375,4.6
10,1277,"300 Hayes St, San Francisco, CA",81,"0 Berkeley Way, Diamond Heights, San Francisco",3/22/2020 - 3/29/2020,715,631,809,11.92
11,1277,"300 Hayes St, San Francisco, CA",82,"2700 25th Street, Mission District, San Francisco",3/22/2020 - 3/29/2020,290,222,378,4.83
12,1277,"300 Hayes St, San Francisco, CA",87,"2200 Wyandotte Street, Mountain View",3/22/2020 - 3/29/2020,1960,1805,2127,32.67
13,1277,"300 Hayes St, San Francisco, CA",90,"300 Heathcliff Drive, Westview, Pacifica",3/22/2020 - 3/29/2020,933,810,1073,15.55
14,1277,"300 Hayes St, San Francisco, CA",91,"700 Industrial Road, San Carlos",3/22/2020 - 3/29/2020,1439,1268,1632,23.98
15,1277,"300 Hayes St, San Francisco, CA",96,"2200 Bonar Street, Poets Corner, Berkeley",3/22/2020 - 3/29/2020,1004,871,1156,16.73
16,1277,"300 Hayes St, San Francisco, CA",98,"500 10th Street, Downtown Oakland, Oakland",3/22/2020 - 3/29/2020,862,701,1058,14.37
17,1277,"300 Hayes St, San Francisco, CA",102,"500 Mount Street, East Richmond, Richmond",3/22/2020 - 3/29/2020,1084,629,1867,18.07
18,1277,"300 Hayes St, San Francisco, CA",113,"1200 Hayes Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,132,92,188,2.2
19,1277,"300 Hayes St, San Francisco, CA",117,"100 Edgemar Street, Crocker, Daly City",3/22/2020 - 3/29/2020,865,722,1035,14.42
20,1277,"300 Hayes St, San Francisco, CA",151,"500 20th Street, Downtown Oakland, Oakland",3/22/2020 - 3/29/2020,954,842,1080,15.9
21,1277,"300 Hayes St, San Francisco, CA",155,"400 North Mary Avenue, Sunnyvale West, Sunnyvale",3/22/2020 - 3/29/2020,2223,2033,2429,37.05
22,1277,"300 Hayes St, San Francisco, CA",165,"2200 Franklin Street, Pacific Heights, San Francisco",3/22/2020 - 3/29/2020,201,153,262,3.35
23,1277,"300 Hayes St, San Francisco, CA",181,"3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland",3/22/2020 - 3/29/2020,824,703,964,13.73
24,1277,"300 Hayes St, San Francisco, CA",186,"1800 Vicente Street, Sunset District, San Francisco",3/22/2020 - 3/29/2020,1058,851,1315,17.63
25,1277,"300 Hayes St, San Francisco, CA",206,"1300 15th Street, Mission District, San Francisco",3/22/2020 - 3/29/2020,191,126,287,3.18
26,1277,"300 Hayes St, San Francisco, CA",207,"1100 Guerrero Street, Mission District, San Francisco",3/22/2020 - 3/29/2020,484,367,637,8.07
27,1277,"300 Hayes St, San Francisco, CA",208,"600 Alabama Street, Mission District, San Francisco",3/22/2020 - 3/29/2020,359,266,484,5.98
28,1277,"300 Hayes St, San Francisco, CA",209,"300 Wilde Avenue, Visitacion Valley, San Francisco",3/22/2020 - 3/29/2020,453,350,585,7.55
29,1277,"300 Hayes St, San Francisco, CA",210,"100 Ramsell Street, Oceanview, San Francisco",3/22/2020 - 3/29/2020,633,500,801,10.55
30,1277,"300 Hayes St, San Francisco, CA",211,"200 16th Avenue, Richmond District, San Francisco",3/22/2020 - 3/29/2020,710,479,1051,11.83
31,1277,"300 Hayes St, San Francisco, CA",212,"500 Washington Street, Financial District, San Francisco",3/22/2020 - 3/29/2020,552,427,712,9.2
32,1277,"300 Hayes St, San Francisco, CA",232,"1000 Beech Street, East Palo Alto",3/22/2020 - 3/29/2020,1852,1659,2067,30.87
33,1277,"300 Hayes St, San Francisco, CA",234,"100 Domestic Terminals Departures Level, San Francisco",3/22/2020 - 3/29/2020,921,767,1104,15.35
34,1277,"300 Hayes St, San Francisco, CA",264,"300 Irwin Street, San Rafael",3/22/2020 - 3/29/2020,1351,1191,1532,22.52
35,1277,"300 Hayes St, San Francisco, CA",285,"1600 Maritime Street, Oakland",3/22/2020 - 3/29/2020,653,520,819,10.88
36,1277,"300 Hayes St, San Francisco, CA",286,"1000 10th Street, West Oakland, Oakland",3/22/2020 - 3/29/2020,820,681,987,13.67
